t;U;U
[s];[V];[V]

9,530;0,01;-0,01
9,540;0,01;-0,02
9,550;0,01;-0,02
9,560;0,02;-0,02
9,570;0,02;-0,03
9,580;0,02;-0,03
9,590;0,03;-0,03
9,600;0,03;-0,04
9,610;0,03;-0,04
9,620;0,04;-0,04
9,630;0,04;-0,04
9,640;0,04;-0,05
9,650;0,05;-0,05
9,660;0,05;-0,05
9,670;0,05;-0,05
9,680;0,05;-0,06
9,690;0,06;-0,06
9,700;0,06;-0,06
9,710;0,06;-0,06
9,720;0,07;-0,07
9,730;0,07;-0,07
9,740;0,07;-0,07
9,750;0,07;-0,07
9,760;0,08;-0,07
9,770;0,08;-0,07
9,780;0,08;-0,07
9,790;0,08;-0,07
9,800;0,08;-0,07
9,810;0,09;-0,08
9,820;0,09;-0,08
9,830;0,09;-0,08
9,840;0,09;-0,08
9,850;0,09;-0,08
9,860;0,10;-0,08
9,870;0,10;-0,08
9,880;0,10;-0,08
9,890;0,10;-0,08
9,900;0,10;-0,08
9,910;0,10;-0,07
9,920;0,10;-0,07
9,930;0,10;-0,07
9,940;0,10;-0,07
9,950;0,10;-0,07
9,960;0,10;-0,07
9,970;0,10;-0,07
9,980;0,10;-0,07
9,990;0,10;-0,07
10,000;0,10;-0,07
10,010;0,10;-0,07
10,020;0,10;-0,07
10,030;0,10;-0,07
10,040;0,10;-0,06
10,050;0,10;-0,06
10,060;0,10;-0,06
10,070;0,10;-0,06
10,080;0,10;-0,06
10,090;0,10;-0,06
10,100;0,10;-0,06
10,110;0,10;-0,06
10,120;0,09;-0,06
10,130;0,09;-0,05
10,140;0,09;-0,05
10,150;0,09;-0,05
10,160;0,08;-0,05
10,170;0,08;-0,05
10,180;0,08;-0,04
10,190;0,08;-0,04
10,200;0,08;-0,04
10,210;0,07;-0,04
10,220;0,07;-0,04
10,230;0,07;-0,04
10,240;0,07;-0,03
10,250;0,07;-0,03
10,260;0,06;-0,03
10,270;0,06;-0,03
10,280;0,06;-0,02
10,290;0,06;-0,02
10,300;0,05;-0,02
10,310;0,05;-0,02
10,320;0,05;-0,01
10,330;0,05;-0,01
10,340;0,05;-0,01
10,350;0,04;-0,01
10,360;0,04;-0,00
10,370;0,04;-0,00
10,380;0,04;0,00
10,390;0,03;0,01
10,400;0,03;0,01
10,410;0,03;0,01
10,420;0,03;0,01
10,430;0,02;0,02
10,440;0,02;0,02
10,450;0,02;0,02
10,460;0,02;0,02
10,470;0,01;0,03
10,480;0,01;0,03
10,490;0,01;0,03
10,500;0,00;0,03
10,510;0,00;0,04
10,520;-0,00;0,04
10,530;-0,00;0,04
10,540;-0,01;0,04
10,550;-0,01;0,05
10,560;-0,01;0,05
10,570;-0,02;0,05
10,580;-0,02;0,05
10,590;-0,02;0,06
10,600;-0,02;0,06
10,610;-0,02;0,06
10,620;-0,03;0,06
10,630;-0,03;0,06
10,640;-0,03;0,06
10,650;-0,03;0,06
10,660;-0,04;0,07
10,670;-0,04;0,07
10,680;-0,04;0,07
10,690;-0,04;0,07
10,700;-0,04;0,07
